# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Feb 08 08:49:10 PST 2020 [seed=1581180549897]
# -overwrite ncov.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-90247.7198359982	-77.70496530069153	-90170.0148706975	2.105420572431928	2017.9847433619943	10.82851983552349	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-90170.0148706975	0.0	-59.51381636811169
10000	-41120.60059789945	30.846135015666746	-41151.446732915116	0.18441502045915945	2019.905748913967	1.8068397925545732	0.9101739717946554	16.41242010192667	2.797440868607522	0.30100788177563836	0.1854476493526816	0.19397780927579933	0.319566659595881	0.07605154167713402	9.591127101122418E-4	9.591127101122416E-4	-41151.446732915116	0.0	35.25296614225359
20000	-41116.207168116896	25.491747158332842	-41141.69891527523	0.19405449564796526	2019.8961094387782	1.983869942714562	1.8506193664088715	24.262863596281615	3.4091448461940987	0.2988238673471193	0.1818544579748918	0.19750130662498006	0.32182036805300923	0.13031891652301233	8.8473590130335E-4	8.847359013033493E-4	-41141.69891527523	0.0	30.21244887000934
30000	-41098.488256853045	29.554026030499394	-41128.04228288354	0.1426237238820257	2019.9475402105443	2.1507280957040673	9.7453895848421	41.9860033977762	4.128583918853577	0.30271043093012706	0.18360274116321526	0.19748066810142637	0.3162061598052317	0.07089999266743853	0.0012742289355421855	0.001274228935542185	-41128.04228288354	0.0	34.707087792594926
40000	-41082.85854718232	35.08831701581396	-41117.94686419813	0.16223880012771152	2019.9279251342987	1.9992034213567316	7.295779178600272	40.58319507936651	3.116269251942546	0.2966744456671725	0.18347303990705124	0.19381271267336103	0.32603980175241565	0.1449956366395809	0.0010846164361390511	0.0010846164361390518	-41117.94686419813	0.0	39.99972339247929
50000	-41095.213958089415	19.925853732837805	-41115.13981182225	0.1494006402590177	2019.9407632941673	2.135152928127764	6.711376444487321	35.477658296516175	6.624369771627304	0.29462617090258714	0.18402573317019927	0.19720804096913305	0.3241400549580811	0.07315680924079149	9.281004361273453E-4	9.281004361273455E-4	-41115.13981182225	0.0	25.533571574873267
60000	-41089.9527075592	28.67256444310685	-41118.625272002304	0.17394443802312684	2019.916219496403	2.061018165595605	4.830285424495392	32.981983577724364	6.119069606980388	0.29730767720849527	0.18243256748770642	0.19502812295941999	0.3252316323443789	0.061389242971593816	0.0011486289226137853	0.0011486289226137862	-41118.625272002304	0.0	34.23387341585565
70000	-41103.92129715778	9.858692432024117	-41113.779989589806	0.18344475800068205	2019.9067191764257	2.3714225209272874	9.264248245563074	34.87361111090681	6.520853879293094	0.2984015637808475	0.18364350193717294	0.19718530353830896	0.3207696307436712	0.277403651648278	8.622373579210732E-4	8.622373579210733E-4	-41113.779989589806	0.0	15.754996746712099
80000	-41119.50241941001	-2.159198723234672	-41117.34322068678	0.18246209531650553	2019.90770183911	2.9142114532167858	8.006704414205483	28.647407226114396	4.246847097436016	0.3029069757876469	0.18687727886336353	0.1936391440247579	0.3165766013242321	0.5522186568311017	7.154600679276519E-4	7.154600679276518E-4	-41117.34322068678	0.0	3.4180289393525083
90000	-41124.728391915356	-7.708603158249968	-41117.019788757105	0.1917748217762178	2019.8983891126502	3.267849701097041	8.843210237493032	29.35862422672588	4.372916560442631	0.3003532255867025	0.18205060128899844	0.19789308467955752	0.31970308844474193	0.20754543139503895	5.699690737752279E-4	5.699690737752279E-4	-41117.019788757105	0.0	-2.9468899336884498
